A̱o,Trimestre,Ingresos (miles de pesos),Periodo,relacion_USD_pesos,Ingresos_USD
2022,3,67055930,22-T3,141.68,473291431
2022,2,60335724,22-T2,122.93,490813666
2022,1,55589997,22-T1,111.68,497761434
2021,4,45467887,21-T4,105.62,430485580
2021,3,42999944,21-T3,102.32,420249648
2021,2,38239667,21-T2,99.17,385597126
2021,1,36676371,21-T1,93.52,392176764
2020,4,33539703,20-T4,85.12,394028465
2020,3,31997445,20-T3,77.1,415012256
2020,2,32102476,20-T2,69.6,461242471
2020,1,29946216,20-T1,63.66,470408671
2019,4,24169251,19-T4,62.11,389136226
2019,3,21652748,19-T3,51.69,418896266
2019,2,20743118,19-T2,44.95,461470923
2019,1,20207414,19-T1,39.95,505817622
2018,4,16637687,18-T4,37.99,437949118
2018,3,15410981,18-T3,32.71,471139743
2018,2,14319467,18-T2,23.9,599140878
2018,1,13171459,18-T1,19.94,660554613
2017,4,11226127,17-T4,17.77,631746032
2017,3,10065998,17-T3,17.48,575858009
2017,2,9678647,17-T2,15.92,607955213
2017,1,8701201,17-T1,15.87,548279836
2016,4,7483980,16-T4,15.66,477904214
2016,3,6912442,16-T3,15.14,456568163
2016,2,6534241,16-T2,14.43,452823354
2016,1,5936845,16-T1,14.6,406633219
2015,4,5376899,15-T4,10.23,525601075
2015,3,5153739,15-T3,9.25,557160972
2015,2,4701791,15-T2,8.95,525339776
2015,1,4876385,15-T1,8.69,561149021
2014,4,3950441,14-T4,8.52,463666784
2014,3,3478638,14-T3,8.35,416603353
2014,2,3270816,14-T2,8.06,405808436
2014,1,2984054,14-T1,7.96,374881155
