Año,Trimestre,Provincia,internet_hogares_porcentual,Periodo
2022,3,Buenos Aires,78.11,22-T3
2022,3,Capital Federal,122.28,22-T3
2022,3,Catamarca,65.33,22-T3
2022,3,Chaco,43.86,22-T3
2022,3,Chubut,84.38,22-T3
2022,3,Córdoba,88.31,22-T3
2022,3,Corrientes,48.21,22-T3
2022,3,Entre Ríos,63.67,22-T3
2022,3,Formosa,43.76,22-T3
2022,3,Jujuy,58.91,22-T3
2022,3,La Pampa,96.59,22-T3
2022,3,La Rioja,80.66,22-T3
2022,3,Mendoza,51.03,22-T3
2022,3,Misiones,51.82,22-T3
2022,3,Neuquén,80.37,22-T3
2022,3,Río Negro,67.98,22-T3
2022,3,Salta,57.76,22-T3
2022,3,San Juan,50.8,22-T3
2022,3,San Luis,81.74,22-T3
2022,3,Santa Cruz,43.19,22-T3
2022,3,Santa Fe,78.55,22-T3
2022,3,Santiago Del Estero,47.98,22-T3
2022,3,Tierra Del Fuego,99.51,22-T3
2022,3,Tucumán,61.14,22-T3
2022,2,Buenos Aires,77.58,22-T2
2022,2,Capital Federal,121.31,22-T2
2022,2,Catamarca,62.4,22-T2
2022,2,Chaco,43.79,22-T2
2022,2,Chubut,83.19,22-T2
2022,2,Córdoba,87.48,22-T2
2022,2,Corrientes,48.35,22-T2
2022,2,Entre Ríos,63.9,22-T2
2022,2,Formosa,43.42,22-T2
2022,2,Jujuy,57.32,22-T2
2022,2,La Pampa,92.98,22-T2
2022,2,La Rioja,80.14,22-T2
2022,2,Mendoza,49.39,22-T2
2022,2,Misiones,51.0,22-T2
2022,2,Neuquén,80.02,22-T2
2022,2,Río Negro,67.85,22-T2
2022,2,Salta,57.54,22-T2
2022,2,San Juan,49.46,22-T2
2022,2,San Luis,81.76,22-T2
2022,2,Santa Cruz,43.15,22-T2
2022,2,Santa Fe,77.9,22-T2
2022,2,Santiago Del Estero,47.7,22-T2
2022,2,Tierra Del Fuego,99.86,22-T2
2022,2,Tucumán,59.31,22-T2
2022,1,Buenos Aires,76.08,22-T1
2022,1,Capital Federal,111.8,22-T1
2022,1,Catamarca,58.21,22-T1
2022,1,Chaco,44.06,22-T1
2022,1,Chubut,88.05,22-T1
2022,1,Córdoba,85.76,22-T1
2022,1,Corrientes,47.64,22-T1
2022,1,Entre Ríos,63.7,22-T1
2022,1,Formosa,34.96,22-T1
2022,1,Jujuy,58.06,22-T1
2022,1,La Pampa,91.66,22-T1
2022,1,La Rioja,78.77,22-T1
2022,1,Mendoza,48.74,22-T1
2022,1,Misiones,49.04,22-T1
2022,1,Neuquén,74.17,22-T1
2022,1,Río Negro,67.04,22-T1
2022,1,Salta,56.11,22-T1
2022,1,San Juan,43.55,22-T1
2022,1,San Luis,80.72,22-T1
2022,1,Santa Cruz,43.34,22-T1
2022,1,Santa Fe,77.3,22-T1
2022,1,Santiago Del Estero,47.17,22-T1
2022,1,Tierra Del Fuego,98.29,22-T1
2022,1,Tucumán,57.39,22-T1
2021,4,Buenos Aires,75.66,21-T4
2021,4,Capital Federal,111.27,21-T4
2021,4,Catamarca,55.25,21-T4
2021,4,Chaco,44.05,21-T4
2021,4,Chubut,82.57,21-T4
2021,4,Córdoba,84.51,21-T4
2021,4,Corrientes,45.51,21-T4
2021,4,Entre Ríos,63.16,21-T4
2021,4,Formosa,34.45,21-T4
2021,4,Jujuy,56.92,21-T4
2021,4,La Pampa,89.57,21-T4
2021,4,La Rioja,77.92,21-T4
2021,4,Mendoza,47.51,21-T4
2021,4,Misiones,49.06,21-T4
2021,4,Neuquén,73.3,21-T4
2021,4,Río Negro,65.69,21-T4
2021,4,Salta,56.81,21-T4
2021,4,San Juan,39.59,21-T4
2021,4,San Luis,80.3,21-T4
2021,4,Santa Cruz,43.05,21-T4
2021,4,Santa Fe,77.09,21-T4
2021,4,Santiago Del Estero,47.05,21-T4
2021,4,Tierra Del Fuego,98.4,21-T4
2021,4,Tucumán,55.93,21-T4
2021,3,Buenos Aires,71.68,21-T3
2021,3,Capital Federal,111.27,21-T3
2021,3,Catamarca,52.71,21-T3
2021,3,Chaco,42.96,21-T3
2021,3,Chubut,80.71,21-T3
2021,3,Córdoba,81.28,21-T3
2021,3,Corrientes,44.9,21-T3
2021,3,Entre Ríos,62.18,21-T3
2021,3,Formosa,33.96,21-T3
2021,3,Jujuy,55.69,21-T3
2021,3,La Pampa,84.28,21-T3
2021,3,La Rioja,77.26,21-T3
2021,3,Mendoza,45.55,21-T3
2021,3,Misiones,45.57,21-T3
2021,3,Neuquén,69.71,21-T3
2021,3,Río Negro,61.97,21-T3
2021,3,Salta,55.96,21-T3
2021,3,San Juan,39.46,21-T3
2021,3,San Luis,79.87,21-T3
2021,3,Santa Cruz,43.75,21-T3
2021,3,Santa Fe,75.02,21-T3
2021,3,Santiago Del Estero,47.0,21-T3
2021,3,Tierra Del Fuego,94.95,21-T3
2021,3,Tucumán,54.64,21-T3
2021,2,Buenos Aires,70.0,21-T2
2021,2,Capital Federal,110.14,21-T2
2021,2,Catamarca,52.34,21-T2
2021,2,Chaco,43.33,21-T2
2021,2,Chubut,72.29,21-T2
2021,2,Córdoba,80.12,21-T2
2021,2,Corrientes,43.54,21-T2
2021,2,Entre Ríos,61.66,21-T2
2021,2,Formosa,33.23,21-T2
2021,2,Jujuy,56.18,21-T2
2021,2,La Pampa,82.08,21-T2
2021,2,La Rioja,76.98,21-T2
2021,2,Mendoza,40.97,21-T2
2021,2,Misiones,45.01,21-T2
2021,2,Neuquén,69.14,21-T2
2021,2,Río Negro,61.94,21-T2
2021,2,Salta,54.93,21-T2
2021,2,San Juan,39.28,21-T2
2021,2,San Luis,83.48,21-T2
2021,2,Santa Cruz,44.01,21-T2
2021,2,Santa Fe,75.07,21-T2
2021,2,Santiago Del Estero,46.56,21-T2
2021,2,Tierra Del Fuego,67.89,21-T2
2021,2,Tucumán,54.93,21-T2
2021,1,Buenos Aires,69.11,21-T1
2021,1,Capital Federal,108.42,21-T1
2021,1,Catamarca,48.9,21-T1
2021,1,Chaco,43.14,21-T1
2021,1,Chubut,68.99,21-T1
2021,1,Córdoba,78.59,21-T1
2021,1,Corrientes,42.66,21-T1
2021,1,Entre Ríos,60.44,21-T1
2021,1,Formosa,32.73,21-T1
2021,1,Jujuy,55.63,21-T1
2021,1,La Pampa,81.78,21-T1
2021,1,La Rioja,49.81,21-T1
2021,1,Mendoza,39.15,21-T1
2021,1,Misiones,43.17,21-T1
2021,1,Neuquén,66.84,21-T1
2021,1,Río Negro,60.88,21-T1
2021,1,Salta,53.93,21-T1
2021,1,San Juan,39.06,21-T1
2021,1,San Luis,81.24,21-T1
2021,1,Santa Cruz,41.65,21-T1
2021,1,Santa Fe,73.92,21-T1
2021,1,Santiago Del Estero,45.67,21-T1
2021,1,Tierra Del Fuego,77.35,21-T1
2021,1,Tucumán,54.82,21-T1
2020,4,Buenos Aires,68.98,20-T4
2020,4,Capital Federal,108.31,20-T4
2020,4,Catamarca,49.41,20-T4
2020,4,Chaco,43.03,20-T4
2020,4,Chubut,68.35,20-T4
2020,4,Córdoba,78.08,20-T4
2020,4,Corrientes,42.43,20-T4
2020,4,Entre Ríos,59.47,20-T4
2020,4,Formosa,32.49,20-T4
2020,4,Jujuy,53.46,20-T4
2020,4,La Pampa,81.77,20-T4
2020,4,La Rioja,50.11,20-T4
2020,4,Mendoza,38.63,20-T4
2020,4,Misiones,42.64,20-T4
2020,4,Neuquén,67.0,20-T4
2020,4,Río Negro,61.09,20-T4
2020,4,Salta,54.04,20-T4
2020,4,San Juan,36.32,20-T4
2020,4,San Luis,81.68,20-T4
2020,4,Santa Cruz,37.0,20-T4
2020,4,Santa Fe,73.58,20-T4
2020,4,Santiago Del Estero,43.75,20-T4
2020,4,Tierra Del Fuego,76.27,20-T4
2020,4,Tucumán,54.78,20-T4
2020,3,Buenos Aires,67.66,20-T3
2020,3,Capital Federal,107.68,20-T3
2020,3,Catamarca,47.16,20-T3
2020,3,Chaco,41.54,20-T3
2020,3,Chubut,68.34,20-T3
2020,3,Córdoba,75.22,20-T3
2020,3,Corrientes,41.75,20-T3
2020,3,Entre Ríos,58.19,20-T3
2020,3,Formosa,31.91,20-T3
2020,3,Jujuy,54.04,20-T3
2020,3,La Pampa,79.26,20-T3
2020,3,La Rioja,50.12,20-T3
2020,3,Mendoza,37.35,20-T3
2020,3,Misiones,41.6,20-T3
2020,3,Neuquén,65.24,20-T3
2020,3,Río Negro,57.05,20-T3
2020,3,Salta,52.32,20-T3
2020,3,San Juan,38.79,20-T3
2020,3,San Luis,79.96,20-T3
2020,3,Santa Cruz,35.95,20-T3
2020,3,Santa Fe,72.12,20-T3
2020,3,Santiago Del Estero,43.38,20-T3
2020,3,Tierra Del Fuego,76.81,20-T3
2020,3,Tucumán,53.23,20-T3
2020,2,Buenos Aires,65.22,20-T2
2020,2,Capital Federal,106.41,20-T2
2020,2,Catamarca,45.43,20-T2
2020,2,Chaco,39.83,20-T2
2020,2,Chubut,57.34,20-T2
2020,2,Córdoba,72.71,20-T2
2020,2,Corrientes,40.3,20-T2
2020,2,Entre Ríos,56.54,20-T2
2020,2,Formosa,31.14,20-T2
2020,2,Jujuy,47.89,20-T2
2020,2,La Pampa,76.1,20-T2
2020,2,La Rioja,49.84,20-T2
2020,2,Mendoza,36.25,20-T2
2020,2,Misiones,40.89,20-T2
2020,2,Neuquén,63.9,20-T2
2020,2,Río Negro,56.37,20-T2
2020,2,Salta,51.58,20-T2
2020,2,San Juan,35.09,20-T2
2020,2,San Luis,78.41,20-T2
2020,2,Santa Cruz,35.79,20-T2
2020,2,Santa Fe,70.0,20-T2
2020,2,Santiago Del Estero,43.47,20-T2
2020,2,Tierra Del Fuego,76.37,20-T2
2020,2,Tucumán,51.78,20-T2
2020,1,Buenos Aires,64.33,20-T1
2020,1,Capital Federal,105.98,20-T1
2020,1,Catamarca,37.62,20-T1
2020,1,Chaco,37.48,20-T1
2020,1,Chubut,51.27,20-T1
2020,1,Córdoba,70.69,20-T1
2020,1,Corrientes,38.73,20-T1
2020,1,Entre Ríos,56.12,20-T1
2020,1,Formosa,30.23,20-T1
2020,1,Jujuy,46.67,20-T1
2020,1,La Pampa,75.77,20-T1
2020,1,La Rioja,46.35,20-T1
2020,1,Mendoza,33.14,20-T1
2020,1,Misiones,39.02,20-T1
2020,1,Neuquén,61.85,20-T1
2020,1,Río Negro,55.12,20-T1
2020,1,Salta,49.6,20-T1
2020,1,San Juan,32.39,20-T1
2020,1,San Luis,76.31,20-T1
2020,1,Santa Cruz,35.97,20-T1
2020,1,Santa Fe,69.52,20-T1
2020,1,Santiago Del Estero,42.47,20-T1
2020,1,Tierra Del Fuego,76.07,20-T1
2020,1,Tucumán,47.85,20-T1
2019,4,Buenos Aires,64.25,19-T4
2019,4,Capital Federal,106.25,19-T4
2019,4,Catamarca,36.44,19-T4
2019,4,Chaco,36.84,19-T4
2019,4,Chubut,51.15,19-T4
2019,4,Córdoba,70.48,19-T4
2019,4,Corrientes,38.77,19-T4
2019,4,Entre Ríos,57.99,19-T4
2019,4,Formosa,30.47,19-T4
2019,4,Jujuy,45.38,19-T4
2019,4,La Pampa,76.92,19-T4
2019,4,La Rioja,47.14,19-T4
2019,4,Mendoza,33.65,19-T4
2019,4,Misiones,39.79,19-T4
2019,4,Neuquén,59.36,19-T4
2019,4,Río Negro,55.71,19-T4
2019,4,Salta,50.35,19-T4
2019,4,San Juan,32.85,19-T4
2019,4,San Luis,74.92,19-T4
2019,4,Santa Cruz,36.71,19-T4
2019,4,Santa Fe,69.48,19-T4
2019,4,Santiago Del Estero,42.92,19-T4
2019,4,Tierra Del Fuego,79.7,19-T4
2019,4,Tucumán,47.65,19-T4
2019,3,Buenos Aires,69.36,19-T3
2019,3,Capital Federal,112.65,19-T3
2019,3,Catamarca,30.88,19-T3
2019,3,Chaco,35.85,19-T3
2019,3,Chubut,47.57,19-T3
2019,3,Córdoba,68.59,19-T3
2019,3,Corrientes,38.49,19-T3
2019,3,Entre Ríos,57.9,19-T3
2019,3,Formosa,30.11,19-T3
2019,3,Jujuy,44.32,19-T3
2019,3,La Pampa,77.45,19-T3
2019,3,La Rioja,47.94,19-T3
2019,3,Mendoza,40.74,19-T3
2019,3,Misiones,39.33,19-T3
2019,3,Neuquén,64.14,19-T3
2019,3,Río Negro,63.42,19-T3
2019,3,Salta,44.48,19-T3
2019,3,San Juan,37.06,19-T3
2019,3,San Luis,85.23,19-T3
2019,3,Santa Cruz,35.63,19-T3
2019,3,Santa Fe,68.87,19-T3
2019,3,Santiago Del Estero,55.3,19-T3
2019,3,Tierra Del Fuego,96.46,19-T3
2019,3,Tucumán,39.49,19-T3
2019,2,Buenos Aires,67.85,19-T2
2019,2,Capital Federal,110.55,19-T2
2019,2,Catamarca,32.13,19-T2
2019,2,Chaco,34.14,19-T2
2019,2,Chubut,46.99,19-T2
2019,2,Córdoba,68.07,19-T2
2019,2,Corrientes,38.16,19-T2
2019,2,Entre Ríos,57.48,19-T2
2019,2,Formosa,30.42,19-T2
2019,2,Jujuy,44.51,19-T2
2019,2,La Pampa,77.08,19-T2
2019,2,La Rioja,48.7,19-T2
2019,2,Mendoza,40.75,19-T2
2019,2,Misiones,39.15,19-T2
2019,2,Neuquén,63.08,19-T2
2019,2,Río Negro,61.09,19-T2
2019,2,Salta,41.89,19-T2
2019,2,San Juan,35.6,19-T2
2019,2,San Luis,81.79,19-T2
2019,2,Santa Cruz,28.85,19-T2
2019,2,Santa Fe,67.42,19-T2
2019,2,Santiago Del Estero,52.79,19-T2
2019,2,Tierra Del Fuego,94.8,19-T2
2019,2,Tucumán,40.14,19-T2
2019,1,Buenos Aires,66.24,19-T1
2019,1,Capital Federal,109.2,19-T1
2019,1,Catamarca,32.19,19-T1
2019,1,Chaco,32.64,19-T1
2019,1,Chubut,43.0,19-T1
2019,1,Córdoba,65.52,19-T1
2019,1,Corrientes,35.13,19-T1
2019,1,Entre Ríos,56.79,19-T1
2019,1,Formosa,29.68,19-T1
2019,1,Jujuy,46.41,19-T1
2019,1,La Pampa,76.35,19-T1
2019,1,La Rioja,50.18,19-T1
2019,1,Mendoza,37.66,19-T1
2019,1,Misiones,36.26,19-T1
2019,1,Neuquén,58.88,19-T1
2019,1,Río Negro,53.57,19-T1
2019,1,Salta,40.1,19-T1
2019,1,San Juan,31.83,19-T1
2019,1,San Luis,67.34,19-T1
2019,1,Santa Cruz,23.67,19-T1
2019,1,Santa Fe,66.97,19-T1
2019,1,Santiago Del Estero,37.52,19-T1
2019,1,Tierra Del Fuego,93.38,19-T1
2019,1,Tucumán,41.63,19-T1
2018,4,Buenos Aires,64.6,18-T4
2018,4,Capital Federal,108.27,18-T4
2018,4,Catamarca,32.23,18-T4
2018,4,Chaco,32.59,18-T4
2018,4,Chubut,42.61,18-T4
2018,4,Córdoba,65.09,18-T4
2018,4,Corrientes,34.57,18-T4
2018,4,Entre Ríos,54.37,18-T4
2018,4,Formosa,29.74,18-T4
2018,4,Jujuy,46.53,18-T4
2018,4,La Pampa,73.49,18-T4
2018,4,La Rioja,50.35,18-T4
2018,4,Mendoza,37.76,18-T4
2018,4,Misiones,34.45,18-T4
2018,4,Neuquén,59.07,18-T4
2018,4,Río Negro,51.86,18-T4
2018,4,Salta,39.8,18-T4
2018,4,San Juan,31.9,18-T4
2018,4,San Luis,67.55,18-T4
2018,4,Santa Cruz,23.69,18-T4
2018,4,Santa Fe,65.59,18-T4
2018,4,Santiago Del Estero,37.4,18-T4
2018,4,Tierra Del Fuego,93.59,18-T4
2018,4,Tucumán,41.76,18-T4
2018,3,Buenos Aires,64.44,18-T3
2018,3,Capital Federal,108.45,18-T3
2018,3,Catamarca,32.92,18-T3
2018,3,Chaco,32.28,18-T3
2018,3,Chubut,56.39,18-T3
2018,3,Córdoba,64.24,18-T3
2018,3,Corrientes,34.25,18-T3
2018,3,Entre Ríos,50.22,18-T3
2018,3,Formosa,29.58,18-T3
2018,3,Jujuy,23.26,18-T3
2018,3,La Pampa,71.75,18-T3
2018,3,La Rioja,50.73,18-T3
2018,3,Mendoza,37.99,18-T3
2018,3,Misiones,32.1,18-T3
2018,3,Neuquén,60.49,18-T3
2018,3,Río Negro,50.54,18-T3
2018,3,Salta,39.43,18-T3
2018,3,San Juan,33.05,18-T3
2018,3,San Luis,52.35,18-T3
2018,3,Santa Cruz,32.73,18-T3
2018,3,Santa Fe,63.41,18-T3
2018,3,Santiago Del Estero,36.25,18-T3
2018,3,Tierra Del Fuego,92.77,18-T3
2018,3,Tucumán,41.68,18-T3
2018,2,Buenos Aires,62.78,18-T2
2018,2,Capital Federal,106.53,18-T2
2018,2,Catamarca,32.86,18-T2
2018,2,Chaco,31.25,18-T2
2018,2,Chubut,54.9,18-T2
2018,2,Córdoba,63.27,18-T2
2018,2,Corrientes,33.81,18-T2
2018,2,Entre Ríos,49.2,18-T2
2018,2,Formosa,29.43,18-T2
2018,2,Jujuy,23.43,18-T2
